company_id,company_name,tier,pool_pass_rate,gender_disparity,gender_p_value,gender_flagged,dept_disparity,dept_p_value,dept_flagged,cgpa_gender_disparity,backlog_gender_disparity,dept_filter_disparity
TFJ014,Razorpay,Startup,0.1925,0.0,1.0,False,0.3059,0.0,True,0,0,0
TFJ015,Meesho,Startup,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFJ016,Urban Company,Startup,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFJ017,1mg,Startup,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFJ018,upGrad,Startup,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFI001,Tata Consultancy Services,Tier1,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFI002,Google,Tier1,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFI003,Microsoft,Tier1,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFI004,Wipro,Tier2,0.1925,0.0,1.0,False,0.3059,0.0,True,0,0,0
TFI005,Paytm,Tier1,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFI006,Ola,Tier2,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFI007,Cognizant,Tier1,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFI008,Capgemini,Tier2,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFI009,Mindtree,Tier2,0.2333,0.0,1.0,False,0.3176,0.0,True,0,0,0
TFI010,Razorpay,Startup,0.1925,0.0,1.0,False,0.3059,0.0,True,0,0,0
TFI011,1mg,Startup,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
TFI012,upGrad,Startup,0.0675,0.0,1.0,False,0.1294,0.004162,True,0,0,0
