internship_id,student_id,company_name,company_tier,role,domain,duration_months,stipend,mode,year
RW-INT-SRM_STA_041-01,SRM_STA_041,FinSight,Tier3,Data Analyst Intern,Web,2.0,False,Hybrid,2022
RW-INT-SRM_STA_041-02,SRM_STA_041,CloudBridge,Tier3,Data Analyst Intern,Cloud,1.0,True,Remote,2022
RW-INT-SRM_STA_042-01,SRM_STA_042,FinSight,Tier2,ML Intern,Cloud,1.0,True,Remote,2025
RW-INT-SRM_STA_042-02,SRM_STA_042,Nexora,Startup,Data Analyst Intern,Data,2.0,False,On-site,2022
RW-INT-SRM_STA_043-01,SRM_STA_043,DataNest,Tier1,Data Analyst Intern,Data,3.0,False,On-site,2025
RW-INT-SRM_STA_044-01,SRM_STA_044,Nexora,Tier1,Data Analyst Intern,Data,3.0,False,On-site,2025
RW-INT-SRM_STA_045-01,SRM_STA_045,CodeWave,Tier2,Web Developer Intern,Web,1.0,False,Hybrid,2024
RW-INT-SRM_STA_046-01,SRM_STA_046,Nexora,Tier1,ML Intern,Cloud,6.0,False,Hybrid,2025
RW-INT-SRM_STA_046-02,SRM_STA_046,DataNest,Tier2,SDE Intern,AI,1.0,False,Hybrid,2022
RW-INT-SRM_STA_047-01,SRM_STA_047,Nexora,Startup,SDE Intern,Web,3.0,True,Remote,2025
RW-INT-SRM_STA_048-01,SRM_STA_048,DataNest,Tier2,SDE Intern,Cloud,1.0,True,Hybrid,2025
RW-INT-SRM_STA_049-01,SRM_STA_049,FinSight,Startup,Web Developer Intern,Cloud,6.0,False,Hybrid,2026
RW-INT-SRM_STA_050-01,SRM_STA_050,Nexora,Tier3,Web Developer Intern,Web,6.0,True,On-site,2023
RW-INT-SRM_STA_051-01,SRM_STA_051,CodeWave,Startup,ML Intern,Data,6.0,True,On-site,2026
RW-INT-SRM_STA_051-02,SRM_STA_051,CodeWave,Tier3,ML Intern,AI,2.0,True,On-site,2022
RW-INT-SRM_STA_052-01,SRM_STA_052,CloudBridge,Startup,ML Intern,Web,6.0,True,Hybrid,2023
RW-INT-SRM_STA_052-02,SRM_STA_052,FinSight,Startup,Web Developer Intern,Data,2.0,True,Remote,2026
RW-INT-SRM_STA_053-01,SRM_STA_053,CloudBridge,Startup,ML Intern,Data,6.0,False,Remote,2023
RW-INT-SRM_STA_054-01,SRM_STA_054,FinSight,Tier2,SDE Intern,Cloud,3.0,False,Remote,2025
RW-INT-SRM_STA_054-02,SRM_STA_054,Nexora,Tier3,ML Intern,Web,6.0,False,Hybrid,2026
RW-INT-SRM_STA_055-01,SRM_STA_055,Nexora,Tier2,ML Intern,Cloud,1.0,True,Hybrid,2024
RW-INT-SRM_STA_055-02,SRM_STA_055,FinSight,Tier1,SDE Intern,Data,1.0,False,Hybrid,2023
RW-INT-SRM_STA_056-01,SRM_STA_056,CodeWave,Tier1,ML Intern,Web,6.0,False,Remote,2024
RW-INT-SRM_STA_056-02,SRM_STA_056,CloudBridge,Tier2,Data Analyst Intern,Cloud,3.0,True,Remote,2023
RW-INT-SRM_STA_057-01,SRM_STA_057,FinSight,Tier3,SDE Intern,AI,1.0,False,Remote,2026
RW-INT-SRM_STA_058-01,SRM_STA_058,FinSight,Tier3,ML Intern,Web,3.0,True,On-site,2024
RW-INT-SRM_STA_058-02,SRM_STA_058,FinSight,Tier1,SDE Intern,AI,1.0,True,Remote,2023
RW-INT-SRM_STA_059-01,SRM_STA_059,CodeWave,Tier3,ML Intern,AI,1.0,False,Remote,2026
RW-INT-SRM_STA_059-02,SRM_STA_059,FinSight,Tier2,SDE Intern,Web,3.0,True,Hybrid,2025
RW-INT-SRM_STA_060-01,SRM_STA_060,DataNest,Startup,SDE Intern,Web,6.0,True,On-site,2026
RW-INT-SRM_STA_060-02,SRM_STA_060,CodeWave,Startup,Data Analyst Intern,AI,1.0,False,Hybrid,2023
RW-INT-SRM_STA_061-01,SRM_STA_061,CodeWave,Tier2,Web Developer Intern,Cloud,1.0,True,On-site,2025
RW-INT-SRM_STA_061-02,SRM_STA_061,CloudBridge,Tier1,Web Developer Intern,Data,2.0,True,Hybrid,2023
RW-INT-SRM_STA_062-01,SRM_STA_062,Nexora,Tier2,Data Analyst Intern,AI,3.0,True,Hybrid,2024
RW-INT-SRM_STA_063-01,SRM_STA_063,DataNest,Tier3,Web Developer Intern,AI,2.0,False,Hybrid,2026
RW-INT-SRM_STA_063-02,SRM_STA_063,Nexora,Startup,Data Analyst Intern,AI,6.0,False,Remote,2022
RW-INT-SRM_STA_064-01,SRM_STA_064,DataNest,Tier3,ML Intern,Data,1.0,True,On-site,2024
RW-INT-SRM_STA_065-01,SRM_STA_065,DataNest,Tier3,SDE Intern,Cloud,3.0,True,On-site,2026
RW-INT-SRM_STA_066-01,SRM_STA_066,FinSight,Tier1,Data Analyst Intern,Data,2.0,True,Hybrid,2025
RW-INT-SRM_STA_066-02,SRM_STA_066,DataNest,Tier3,SDE Intern,AI,1.0,True,On-site,2022
RW-INT-SRM_STA_067-01,SRM_STA_067,CodeWave,Tier3,Web Developer Intern,Cloud,2.0,False,Hybrid,2024
RW-INT-SRM_STA_067-02,SRM_STA_067,Nexora,Tier2,ML Intern,Web,1.0,False,On-site,2026
RW-INT-SRM_STA_068-01,SRM_STA_068,DataNest,Startup,ML Intern,Web,3.0,True,Remote,2024
RW-INT-SRM_STA_069-01,SRM_STA_069,DataNest,Startup,ML Intern,Cloud,3.0,True,Remote,2026
RW-INT-SRM_STA_070-01,SRM_STA_070,DataNest,Tier1,SDE Intern,Data,2.0,True,Hybrid,2023
RW-INT-SRM_STA_071-01,SRM_STA_071,Nexora,Tier2,ML Intern,Cloud,1.0,False,Remote,2024
RW-INT-SRM_STA_072-01,SRM_STA_072,DataNest,Startup,Web Developer Intern,Web,3.0,True,Remote,2025
RW-INT-SRM_STA_072-02,SRM_STA_072,CloudBridge,Tier2,Web Developer Intern,Cloud,1.0,False,On-site,2026
RW-INT-SRM_STA_073-01,SRM_STA_073,FinSight,Tier2,Data Analyst Intern,Cloud,6.0,False,Hybrid,2022
RW-INT-SRM_STA_073-02,SRM_STA_073,CodeWave,Tier1,Web Developer Intern,Data,1.0,True,On-site,2024
RW-INT-SRM_STA_074-01,SRM_STA_074,Nexora,Tier2,SDE Intern,Web,2.0,False,Hybrid,2023
RW-INT-SRM_STA_075-01,SRM_STA_075,Nexora,Tier3,Data Analyst Intern,Cloud,3.0,False,Hybrid,2025
RW-INT-SRM_STA_076-01,SRM_STA_076,Nexora,Tier1,Web Developer Intern,AI,1.0,False,Hybrid,2026
RW-INT-SRM_STA_077-01,SRM_STA_077,CodeWave,Startup,ML Intern,Web,3.0,False,Remote,2024
RW-INT-SRM_STA_078-01,SRM_STA_078,DataNest,Tier2,Web Developer Intern,Data,3.0,False,On-site,2023
RW-INT-SRM_STA_079-01,SRM_STA_079,CodeWave,Tier2,Web Developer Intern,Cloud,3.0,True,On-site,2023
RW-INT-SRM_STA_080-01,SRM_STA_080,Nexora,Startup,ML Intern,Cloud,3.0,True,On-site,2022
RW-INT-SRM_STA_080-02,SRM_STA_080,CodeWave,Startup,SDE Intern,Web,1.0,True,Hybrid,2026
RW-INT-SRM_STA_081-01,SRM_STA_081,DataNest,Startup,Data Analyst Intern,Web,1.0,True,On-site,2026
RW-INT-SRM_STA_081-02,SRM_STA_081,CloudBridge,Tier2,Web Developer Intern,Web,2.0,True,On-site,2024
RW-INT-SRM_STA_082-01,SRM_STA_082,CodeWave,Startup,Web Developer Intern,Cloud,6.0,True,On-site,2025
RW-INT-SRM_STA_083-01,SRM_STA_083,CloudBridge,Tier3,ML Intern,Data,6.0,True,Hybrid,2022
RW-INT-SRM_STA_084-01,SRM_STA_084,DataNest,Tier1,Web Developer Intern,Web,2.0,True,Remote,2023
RW-INT-SRM_STA_085-01,SRM_STA_085,FinSight,Tier1,SDE Intern,AI,1.0,True,Remote,2023
RW-INT-SRM_STA_086-01,SRM_STA_086,CloudBridge,Tier3,Web Developer Intern,AI,2.0,False,On-site,2026
RW-INT-SRM_STA_086-02,SRM_STA_086,Nexora,Tier2,Data Analyst Intern,Data,3.0,False,Hybrid,2022
RW-INT-SRM_STA_087-01,SRM_STA_087,FinSight,Tier1,SDE Intern,Data,6.0,True,Remote,2022
RW-INT-SRM_STA_088-01,SRM_STA_088,CodeWave,Startup,ML Intern,AI,2.0,False,On-site,2022
RW-INT-SRM_STA_088-02,SRM_STA_088,CodeWave,Tier2,Web Developer Intern,Data,1.0,True,On-site,2026
RW-INT-SRM_STA_089-01,SRM_STA_089,Nexora,Tier2,SDE Intern,AI,2.0,True,Hybrid,2026
RW-INT-SRM_STA_089-02,SRM_STA_089,FinSight,Tier3,ML Intern,AI,1.0,False,Hybrid,2025
RW-INT-SRM_STA_090-01,SRM_STA_090,FinSight,Tier2,ML Intern,Data,1.0,True,Hybrid,2023
RW-INT-SRM_STA_091-01,SRM_STA_091,CodeWave,Startup,SDE Intern,Cloud,6.0,False,On-site,2025
RW-INT-SRM_STA_092-01,SRM_STA_092,FinSight,Tier1,Data Analyst Intern,Cloud,1.0,True,Hybrid,2026
RW-INT-SRM_STA_093-01,SRM_STA_093,CloudBridge,Startup,ML Intern,AI,2.0,False,Hybrid,2025
RW-INT-SRM_STA_094-01,SRM_STA_094,CodeWave,Startup,SDE Intern,Data,1.0,False,On-site,2025
RW-INT-SRM_STA_095-01,SRM_STA_095,CodeWave,Tier2,ML Intern,Cloud,3.0,True,Hybrid,2024
RW-INT-SRM_STA_095-02,SRM_STA_095,Nexora,Tier2,Web Developer Intern,Data,2.0,False,Remote,2022
RW-INT-SRM_STA_096-01,SRM_STA_096,Nexora,Startup,SDE Intern,Cloud,3.0,False,Remote,2024
RW-INT-SRM_STA_097-01,SRM_STA_097,Nexora,Tier3,Web Developer Intern,Data,1.0,True,Hybrid,2024
RW-INT-SRM_STA_097-02,SRM_STA_097,DataNest,Tier1,ML Intern,Web,2.0,False,Remote,2022
RW-INT-SRM_STA_098-01,SRM_STA_098,CodeWave,Startup,Data Analyst Intern,AI,2.0,False,Hybrid,2022
RW-INT-SRM_STA_099-01,SRM_STA_099,CloudBridge,Tier1,Web Developer Intern,Web,1.0,False,Remote,2023
RW-INT-SRM_STA_100-01,SRM_STA_100,DataNest,Tier2,ML Intern,Web,3.0,True,Hybrid,2025
RW-INT-SRM_STA_100-02,SRM_STA_100,DataNest,Tier1,ML Intern,Cloud,3.0,True,Remote,2025
RW-INT-SRM_STA_101-01,SRM_STA_101,Nexora,Startup,Web Developer Intern,Data,6.0,False,On-site,2024
RW-INT-SRM_STA_101-02,SRM_STA_101,CloudBridge,Tier1,ML Intern,Web,3.0,False,On-site,2025
RW-INT-SRM_STA_102-01,SRM_STA_102,CloudBridge,Tier1,Data Analyst Intern,Cloud,1.0,False,Remote,2023
RW-INT-SRM_STA_103-01,SRM_STA_103,FinSight,Startup,Data Analyst Intern,Web,2.0,True,Remote,2025
RW-INT-SRM_STA_104-01,SRM_STA_104,Nexora,Tier2,ML Intern,Cloud,2.0,True,Remote,2024
RW-INT-SRM_STA_104-02,SRM_STA_104,DataNest,Tier2,ML Intern,Web,6.0,True,Remote,2022
RW-INT-SRM_STA_105-01,SRM_STA_105,FinSight,Tier2,ML Intern,Web,2.0,False,On-site,2024
RW-INT-SRM_STA_105-02,SRM_STA_105,DataNest,Tier3,Web Developer Intern,Web,1.0,True,Remote,2026
RW-INT-SRM_STA_106-01,SRM_STA_106,CloudBridge,Tier2,Web Developer Intern,AI,6.0,False,Hybrid,2025
RW-INT-SRM_STA_106-02,SRM_STA_106,CodeWave,Tier1,ML Intern,Data,2.0,False,Hybrid,2025
RW-INT-SRM_STA_107-01,SRM_STA_107,CloudBridge,Tier1,Data Analyst Intern,Cloud,2.0,True,On-site,2023
RW-INT-SRM_STA_107-02,SRM_STA_107,DataNest,Startup,SDE Intern,Cloud,2.0,False,Hybrid,2026
RW-INT-SRM_STA_108-01,SRM_STA_108,CloudBridge,Tier2,Data Analyst Intern,Data,2.0,False,Remote,2023
RW-INT-SRM_STA_108-02,SRM_STA_108,FinSight,Tier2,SDE Intern,AI,2.0,True,Hybrid,2022
RW-INT-SRM_STA_109-01,SRM_STA_109,Nexora,Tier1,SDE Intern,Data,3.0,False,Remote,2026
RW-INT-SRM_STA_109-02,SRM_STA_109,DataNest,Tier3,Data Analyst Intern,Cloud,2.0,True,On-site,2026
RW-INT-SRM_STA_110-01,SRM_STA_110,CloudBridge,Tier2,SDE Intern,Data,2.0,False,On-site,2024
RW-INT-SRM_STA_111-01,SRM_STA_111,CodeWave,Tier1,ML Intern,Web,1.0,True,Remote,2026
RW-INT-SRM_STA_112-01,SRM_STA_112,CodeWave,Tier1,Data Analyst Intern,Data,1.0,True,Hybrid,2026
RW-INT-SRM_STA_113-01,SRM_STA_113,CodeWave,Tier3,Web Developer Intern,Cloud,6.0,False,Hybrid,2023
RW-INT-SRM_STA_114-01,SRM_STA_114,CodeWave,Tier2,ML Intern,AI,6.0,True,Remote,2024
RW-INT-SRM_STA_114-02,SRM_STA_114,Nexora,Startup,ML Intern,Data,1.0,False,Remote,2026
RW-INT-SRM_STA_115-01,SRM_STA_115,DataNest,Tier1,Data Analyst Intern,Web,1.0,True,Hybrid,2025
RW-INT-SRM_STA_116-01,SRM_STA_116,FinSight,Tier3,Web Developer Intern,AI,2.0,True,Hybrid,2026
RW-INT-SRM_STA_116-02,SRM_STA_116,Nexora,Tier2,SDE Intern,Cloud,2.0,False,On-site,2024
RW-INT-SRM_STA_117-01,SRM_STA_117,DataNest,Tier1,ML Intern,AI,1.0,True,Remote,2026
RW-INT-SRM_STA_118-01,SRM_STA_118,CodeWave,Startup,Data Analyst Intern,AI,2.0,True,On-site,2022
RW-INT-SRM_STA_118-02,SRM_STA_118,FinSight,Tier1,Web Developer Intern,Web,1.0,True,On-site,2023
RW-INT-SRM_STA_119-01,SRM_STA_119,DataNest,Tier2,SDE Intern,Data,6.0,False,On-site,2025
RW-INT-SRM_STA_120-01,SRM_STA_120,Nexora,Tier2,Data Analyst Intern,Data,6.0,False,Remote,2023
RW-INT-SRM_STA_121-01,SRM_STA_121,FinSight,Startup,Data Analyst Intern,Web,1.0,True,Remote,2025
RW-INT-SRM_STA_121-02,SRM_STA_121,DataNest,Tier3,Web Developer Intern,Data,2.0,False,Hybrid,2022
RW-INT-SRM_STA_122-01,SRM_STA_122,DataNest,Tier1,SDE Intern,Data,1.0,True,Hybrid,2023
RW-INT-SRM_STA_123-01,SRM_STA_123,Nexora,Tier2,Data Analyst Intern,Cloud,6.0,True,On-site,2025
RW-INT-SRM_STA_123-02,SRM_STA_123,CloudBridge,Tier1,SDE Intern,Data,2.0,True,Hybrid,2026
RW-INT-SRM_STA_124-01,SRM_STA_124,Nexora,Startup,Data Analyst Intern,Web,3.0,True,Remote,2024
RW-INT-SRM_STA_124-02,SRM_STA_124,DataNest,Tier2,Web Developer Intern,Web,2.0,True,Hybrid,2026
RW-INT-SRM_STA_125-01,SRM_STA_125,FinSight,Tier2,SDE Intern,Web,2.0,False,Remote,2022
RW-INT-SRM_STA_125-02,SRM_STA_125,DataNest,Tier2,ML Intern,Web,2.0,False,Hybrid,2022
RW-INT-SRM_STA_126-01,SRM_STA_126,Nexora,Tier3,Web Developer Intern,Web,2.0,True,On-site,2023
RW-INT-SRM_STA_127-01,SRM_STA_127,FinSight,Tier2,Data Analyst Intern,Data,3.0,True,On-site,2026
RW-INT-SRM_STA_127-02,SRM_STA_127,FinSight,Startup,SDE Intern,Data,3.0,False,On-site,2026
RW-INT-SRM_STA_128-01,SRM_STA_128,DataNest,Tier3,ML Intern,Data,2.0,True,On-site,2023
RW-INT-SRM_STA_128-02,SRM_STA_128,FinSight,Tier2,Web Developer Intern,Web,2.0,True,On-site,2022
RW-INT-SRM_STA_129-01,SRM_STA_129,DataNest,Tier1,Web Developer Intern,Data,1.0,False,On-site,2024
RW-INT-SRM_STA_130-01,SRM_STA_130,CodeWave,Tier3,Web Developer Intern,Web,1.0,False,Hybrid,2026
RW-INT-SRM_STA_130-02,SRM_STA_130,FinSight,Tier1,Web Developer Intern,Cloud,2.0,False,On-site,2023
RW-INT-SRM_STA_131-01,SRM_STA_131,Nexora,Tier3,SDE Intern,Cloud,2.0,False,On-site,2023
RW-INT-SRM_STA_131-02,SRM_STA_131,FinSight,Tier3,SDE Intern,Data,2.0,False,On-site,2026
RW-INT-SRM_STA_132-01,SRM_STA_132,Nexora,Tier1,Web Developer Intern,Data,2.0,True,On-site,2024
RW-INT-SRM_STA_133-01,SRM_STA_133,Nexora,Tier3,ML Intern,Cloud,2.0,False,On-site,2023
RW-INT-SRM_STA_133-02,SRM_STA_133,CodeWave,Tier2,Data Analyst Intern,Cloud,6.0,False,On-site,2022
RW-INT-SRM_STA_134-01,SRM_STA_134,Nexora,Startup,Web Developer Intern,Cloud,1.0,False,Remote,2023
RW-INT-SRM_STA_135-01,SRM_STA_135,Nexora,Startup,Data Analyst Intern,AI,6.0,True,Hybrid,2022
RW-INT-SRM_STA_136-01,SRM_STA_136,DataNest,Startup,ML Intern,AI,3.0,True,On-site,2025
RW-INT-SRM_STA_137-01,SRM_STA_137,CodeWave,Tier2,SDE Intern,AI,6.0,True,Hybrid,2026
RW-INT-SRM_STA_138-01,SRM_STA_138,CloudBridge,Startup,Web Developer Intern,Data,6.0,False,Remote,2024
RW-INT-SRM_STA_139-01,SRM_STA_139,CloudBridge,Tier2,Web Developer Intern,Web,3.0,False,Remote,2025
RW-INT-SRM_STA_140-01,SRM_STA_140,CodeWave,Tier3,Web Developer Intern,Web,6.0,False,Hybrid,2023
RW-INT-SRM_STA_141-01,SRM_STA_141,Nexora,Tier1,Web Developer Intern,Data,6.0,False,Hybrid,2026
RW-INT-SRM_STA_141-02,SRM_STA_141,CodeWave,Tier1,SDE Intern,AI,1.0,False,On-site,2022
RW-INT-SRM_STA_142-01,SRM_STA_142,DataNest,Tier3,Data Analyst Intern,Cloud,3.0,True,On-site,2025
RW-INT-SRM_STA_143-01,SRM_STA_143,FinSight,Startup,Data Analyst Intern,Cloud,3.0,True,On-site,2025
RW-INT-SRM_STA_144-01,SRM_STA_144,Nexora,Tier1,SDE Intern,AI,1.0,True,Remote,2024
RW-INT-SRM_STA_145-01,SRM_STA_145,Nexora,Tier3,ML Intern,Web,6.0,True,On-site,2026
RW-INT-SRM_STA_145-02,SRM_STA_145,FinSight,Tier1,Data Analyst Intern,Cloud,6.0,True,On-site,2023
RW-INT-SRM_STA_146-01,SRM_STA_146,Nexora,Tier2,SDE Intern,Cloud,1.0,True,Hybrid,2024
RW-INT-SRM_STA_146-02,SRM_STA_146,CloudBridge,Tier3,SDE Intern,Data,3.0,False,Remote,2024
RW-INT-SRM_STA_147-01,SRM_STA_147,CloudBridge,Startup,SDE Intern,Cloud,3.0,True,On-site,2022
RW-INT-SRM_STA_147-02,SRM_STA_147,FinSight,Tier2,ML Intern,Data,2.0,True,Remote,2026
RW-INT-SRM_STA_148-01,SRM_STA_148,CloudBridge,Tier1,ML Intern,Data,1.0,False,Hybrid,2023
RW-INT-SRM_STA_149-01,SRM_STA_149,CloudBridge,Tier2,SDE Intern,Web,1.0,False,Hybrid,2024
RW-INT-SRM_STA_149-02,SRM_STA_149,FinSight,Tier3,ML Intern,AI,2.0,True,On-site,2022
RW-INT-SRM_STA_150-01,SRM_STA_150,Nexora,Tier2,Data Analyst Intern,AI,2.0,True,On-site,2023
RW-INT-SRM_STA_150-02,SRM_STA_150,DataNest,Tier3,ML Intern,Data,1.0,False,On-site,2022
RW-INT-SRM_STA_151-01,SRM_STA_151,FinSight,Tier1,SDE Intern,Data,1.0,False,Remote,2026
RW-INT-SRM_STA_152-01,SRM_STA_152,DataNest,Tier1,Web Developer Intern,Data,2.0,True,Remote,2023
RW-INT-SRM_STA_153-01,SRM_STA_153,CodeWave,Tier2,ML Intern,Data,3.0,True,Hybrid,2025
RW-INT-SRM_STA_154-01,SRM_STA_154,Nexora,Tier1,ML Intern,Cloud,3.0,True,Hybrid,2026
