cert_id,student_id,cert_name,issuing_body,tier,domain,year_obtained
RW-CERT-SRM_STA_015_V2-02,SRM_STA_015_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Standard,Data,2022
RW-CERT-SRM_STA_015_V2-03,SRM_STA_015_V2,NPTEL - Machine Learning,NPTEL,Global_Premium,AI,2023
RW-CERT-SRM_STA_015_V2-04,SRM_STA_015_V2,Microsoft Certified: Azure Fundamentals,Issuer,Global_Standard,Programming,2024
RW-CERT-SRM_STA_016-01,SRM_STA_016,Tableau Certified Data Analyst,Issuer,Local,Cloud,2024
RW-CERT-SRM_STA_016-02,SRM_STA_016,NPTEL - Programming in Java,NPTEL,Global_Premium,AI,2026
RW-CERT-SRM_STA_016-03,SRM_STA_016,Unity Certified Associate,Issuer,Global_Premium,AI,2022
RW-CERT-SRM_STA_016-04,SRM_STA_016,Google Cloud Certified: Cloud Engineer,Issuer,National,Cloud,2024
RW-CERT-SRM_STA_016_V2-01,SRM_STA_016_V2,Tableau Certified Data Analyst,Issuer,Global_Standard,AI,2022
RW-CERT-SRM_STA_016_V2-02,SRM_STA_016_V2,NPTEL - Programming in Java,NPTEL,National,Web,2022
RW-CERT-SRM_STA_016_V2-03,SRM_STA_016_V2,Unity Certified Associate,Issuer,Global_Standard,Data,2026
RW-CERT-SRM_STA_016_V2-04,SRM_STA_016_V2,Google Cloud Certified: Cloud Engineer,Issuer,Global_Premium,Cloud,2025
RW-CERT-SRM_STA_017-01,SRM_STA_017,CompTIA Security+,Issuer,Local,Cloud,2024
RW-CERT-SRM_STA_017-02,SRM_STA_017,Tableau Certified Data Analyst,Issuer,Global_Premium,Data,2024
RW-CERT-SRM_STA_017-03,SRM_STA_017,AWS Certified Developer - Associate,AWS Certified Developer,Local,Web,2023
RW-CERT-SRM_STA_017_V2-01,SRM_STA_017_V2,CompTIA Security+,Issuer,Local,Cloud,2025
RW-CERT-SRM_STA_017_V2-02,SRM_STA_017_V2,Tableau Certified Data Analyst,Issuer,National,Programming,2025
RW-CERT-SRM_STA_017_V2-03,SRM_STA_017_V2,AWS Certified Developer - Associate,AWS Certified Developer,National,Data,2024
RW-CERT-SRM_STA_018-01,SRM_STA_018,Google Cloud Certified: Cloud Engineer,Issuer,Global_Standard,Cloud,2026
RW-CERT-SRM_STA_018-02,SRM_STA_018,MongoDB Associate Developer,Issuer,Local,Programming,2026
RW-CERT-SRM_STA_018_V2-01,SRM_STA_018_V2,Google Cloud Certified: Cloud Engineer,Issuer,Global_Premium,Cloud,2025
RW-CERT-SRM_STA_018_V2-02,SRM_STA_018_V2,MongoDB Associate Developer,Issuer,Global_Premium,Web,2024
RW-CERT-SRM_STA_019-01,SRM_STA_019,NPTEL - Machine Learning,NPTEL,Global_Premium,Cloud,2024
RW-CERT-SRM_STA_019-02,SRM_STA_019,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,Cloud,2026
RW-CERT-SRM_STA_019_V2-01,SRM_STA_019_V2,NPTEL - Machine Learning,NPTEL,Local,Data,2023
RW-CERT-SRM_STA_019_V2-02,SRM_STA_019_V2,Oracle Certified Professional: Java SE 11,Issuer,Local,Programming,2025
RW-CERT-SRM_STA_020-01,SRM_STA_020,Unity Certified Associate,Issuer,Global_Premium,AI,2024
RW-CERT-SRM_STA_020-02,SRM_STA_020,MongoDB Associate Developer,Issuer,Global_Premium,Programming,2025
RW-CERT-SRM_STA_020-03,SRM_STA_020,Certified Ethical Hacker (CEH V12),Issuer,Global_Standard,Web,2023
RW-CERT-SRM_STA_020_V2-01,SRM_STA_020_V2,Unity Certified Associate,Issuer,Local,Web,2024
RW-CERT-SRM_STA_020_V2-02,SRM_STA_020_V2,MongoDB Associate Developer,Issuer,Local,AI,2026
RW-CERT-SRM_STA_020_V2-03,SRM_STA_020_V2,Certified Ethical Hacker (CEH V12),Issuer,Local,Programming,2025
RW-CERT-SRM_STA_021-01,SRM_STA_021,Unity Certified Associate,Issuer,Global_Premium,Programming,2024
RW-CERT-SRM_STA_021-02,SRM_STA_021,Google Cloud Certified: Cloud Engineer,Issuer,Local,Programming,2025
RW-CERT-SRM_STA_021-03,SRM_STA_021,MongoDB Associate Developer,Issuer,Global_Premium,AI,2026
RW-CERT-SRM_STA_021_V2-01,SRM_STA_021_V2,Unity Certified Associate,Issuer,National,Cloud,2023
RW-CERT-SRM_STA_021_V2-02,SRM_STA_021_V2,Google Cloud Certified: Cloud Engineer,Issuer,National,Web,2025
RW-CERT-SRM_STA_021_V2-03,SRM_STA_021_V2,MongoDB Associate Developer,Issuer,Local,AI,2025
RW-CERT-SRM_STA_022-01,SRM_STA_022,Unity Certified Associate,Issuer,Global_Standard,Data,2023
RW-CERT-SRM_STA_022-02,SRM_STA_022,Docker Certified Associate,Issuer,Local,Cloud,2025
RW-CERT-SRM_STA_022_V2-01,SRM_STA_022_V2,Unity Certified Associate,Issuer,Local,Programming,2024
RW-CERT-SRM_STA_022_V2-02,SRM_STA_022_V2,Docker Certified Associate,Issuer,Global_Standard,AI,2023
RW-CERT-SRM_STA_023-01,SRM_STA_023,CCNA,Issuer,Global_Standard,AI,2023
RW-CERT-SRM_STA_023_V2-01,SRM_STA_023_V2,CCNA,Issuer,Global_Standard,Data,2026
RW-CERT-SRM_STA_024-01,SRM_STA_024,NPTEL - Programming in Java,NPTEL,Global_Premium,AI,2023
RW-CERT-SRM_STA_024_V2-01,SRM_STA_024_V2,NPTEL - Programming in Java,NPTEL,National,Cloud,2025
RW-CERT-SRM_STA_025-01,SRM_STA_025,NPTEL - Programming in Java,NPTEL,National,Programming,2026
RW-CERT-SRM_STA_025-02,SRM_STA_025,Docker Certified Associate,Issuer,Global_Standard,Web,2022
RW-CERT-SRM_STA_025-03,SRM_STA_025,Microsoft Certified: Azure Fundamentals,Issuer,Local,Cloud,2026
RW-CERT-SRM_STA_025_V2-01,SRM_STA_025_V2,NPTEL - Programming in Java,NPTEL,National,Data,2025
RW-CERT-SRM_STA_025_V2-02,SRM_STA_025_V2,Docker Certified Associate,Issuer,National,Programming,2026
RW-CERT-SRM_STA_025_V2-03,SRM_STA_025_V2,Microsoft Certified: Azure Fundamentals,Issuer,Global_Standard,Cloud,2022
RW-CERT-SRM_STA_026-01,SRM_STA_026,Unity Certified Associate,Issuer,Global_Premium,Programming,2026
RW-CERT-SRM_STA_026-02,SRM_STA_026,AWS Certified Developer - Associate,AWS Certified Developer,National,Cloud,2024
RW-CERT-SRM_STA_026-03,SRM_STA_026,Oracle Certified Professional: Java SE 11,Issuer,National,Cloud,2026
RW-CERT-SRM_STA_026_V2-01,SRM_STA_026_V2,Unity Certified Associate,Issuer,Global_Premium,AI,2026
RW-CERT-SRM_STA_026_V2-02,SRM_STA_026_V2,AWS Certified Developer - Associate,AWS Certified Developer,Local,Programming,2026
RW-CERT-SRM_STA_026_V2-03,SRM_STA_026_V2,Oracle Certified Professional: Java SE 11,Issuer,Local,AI,2022
RW-CERT-SRM_STA_027-01,SRM_STA_027,Oracle Certified Professional: Java SE 11,Issuer,Local,Web,2026
RW-CERT-SRM_STA_027-02,SRM_STA_027,CompTIA Security+,Issuer,Global_Standard,Web,2025
RW-CERT-SRM_STA_027-03,SRM_STA_027,AWS Certified Cloud Practitioner,Issuer,Local,AI,2022
RW-CERT-SRM_STA_027-04,SRM_STA_027,AWS Certified Developer - Associate,AWS Certified Developer,Global_Standard,AI,2025
RW-CERT-SRM_STA_027_V2-01,SRM_STA_027_V2,Oracle Certified Professional: Java SE 11,Issuer,Local,Programming,2022
RW-CERT-SRM_STA_027_V2-02,SRM_STA_027_V2,CompTIA Security+,Issuer,Local,AI,2024
RW-CERT-SRM_STA_027_V2-03,SRM_STA_027_V2,AWS Certified Cloud Practitioner,Issuer,Local,Cloud,2022
RW-CERT-SRM_STA_027_V2-04,SRM_STA_027_V2,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,Programming,2024
RW-CERT-SRM_STA_028-01,SRM_STA_028,Unity Certified Associate,Issuer,Global_Standard,Data,2026
RW-CERT-SRM_STA_028-02,SRM_STA_028,MongoDB Associate Developer,Issuer,National,Cloud,2025
RW-CERT-SRM_STA_028_V2-01,SRM_STA_028_V2,Unity Certified Associate,Issuer,Global_Standard,Programming,2022
RW-CERT-SRM_STA_028_V2-02,SRM_STA_028_V2,MongoDB Associate Developer,Issuer,National,Cloud,2024
RW-CERT-SRM_STA_029-01,SRM_STA_029,Microsoft Certified: Azure Fundamentals,Issuer,Global_Premium,Cloud,2022
RW-CERT-SRM_STA_029-02,SRM_STA_029,AWS Certified Cloud Practitioner,Issuer,Global_Premium,Web,2022
RW-CERT-SRM_STA_029_V2-01,SRM_STA_029_V2,Microsoft Certified: Azure Fundamentals,Issuer,Global_Premium,AI,2024
RW-CERT-SRM_STA_029_V2-02,SRM_STA_029_V2,AWS Certified Cloud Practitioner,Issuer,Global_Premium,Data,2024
RW-CERT-SRM_STA_030-01,SRM_STA_030,NPTEL - Machine Learning,NPTEL,National,AI,2023
RW-CERT-SRM_STA_030-02,SRM_STA_030,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,AI,2024
RW-CERT-SRM_STA_030-03,SRM_STA_030,Certified Ethical Hacker (CEH V12),Issuer,Local,Data,2023
RW-CERT-SRM_STA_030-04,SRM_STA_030,Unity Certified Associate,Issuer,Global_Premium,AI,2023
RW-CERT-SRM_STA_030_V2-01,SRM_STA_030_V2,NPTEL - Machine Learning,NPTEL,Local,Data,2026
RW-CERT-SRM_STA_030_V2-02,SRM_STA_030_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,Data,2022
RW-CERT-SRM_STA_030_V2-03,SRM_STA_030_V2,Certified Ethical Hacker (CEH V12),Issuer,National,Programming,2026
RW-CERT-SRM_STA_030_V2-04,SRM_STA_030_V2,Unity Certified Associate,Issuer,National,Programming,2026
RW-CERT-SRM_STA_031-01,SRM_STA_031,GitHub Actions Certification,Issuer,Global_Premium,Data,2023
RW-CERT-SRM_STA_031_V2-01,SRM_STA_031_V2,GitHub Actions Certification,Issuer,Local,Data,2022
RW-CERT-SRM_STA_032-01,SRM_STA_032,Microsoft Certified: Azure Fundamentals,Issuer,Local,Data,2023
RW-CERT-SRM_STA_032-02,SRM_STA_032,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,Data,2023
RW-CERT-SRM_STA_032-03,SRM_STA_032,Google Cloud Certified: Cloud Engineer,Issuer,National,Programming,2026
RW-CERT-SRM_STA_032_V2-01,SRM_STA_032_V2,Microsoft Certified: Azure Fundamentals,Issuer,Global_Standard,Programming,2022
RW-CERT-SRM_STA_032_V2-02,SRM_STA_032_V2,Oracle Certified Professional: Java SE 11,Issuer,National,AI,2024
RW-CERT-SRM_STA_032_V2-03,SRM_STA_032_V2,Google Cloud Certified: Cloud Engineer,Issuer,Global_Premium,Programming,2026
RW-CERT-SRM_STA_033-01,SRM_STA_033,CCNA,Issuer,Global_Standard,Data,2023
RW-CERT-SRM_STA_033-02,SRM_STA_033,AWS Certified Cloud Practitioner,Issuer,National,Web,2022
RW-CERT-SRM_STA_033-03,SRM_STA_033,Tableau Certified Data Analyst,Issuer,National,Cloud,2026
RW-CERT-SRM_STA_033_V2-01,SRM_STA_033_V2,CCNA,Issuer,National,AI,2022
RW-CERT-SRM_STA_033_V2-02,SRM_STA_033_V2,AWS Certified Cloud Practitioner,Issuer,Global_Premium,AI,2022
RW-CERT-SRM_STA_033_V2-03,SRM_STA_033_V2,Tableau Certified Data Analyst,Issuer,Global_Standard,Web,2026
RW-CERT-SRM_STA_034-01,SRM_STA_034,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,Data,2024
RW-CERT-SRM_STA_034-02,SRM_STA_034,Certified Ethical Hacker (CEH V12),Issuer,Global_Premium,Data,2022
RW-CERT-SRM_STA_034-03,SRM_STA_034,CCNA,Issuer,Global_Premium,AI,2023
RW-CERT-SRM_STA_034-04,SRM_STA_034,Docker Certified Associate,Issuer,National,AI,2022
RW-CERT-SRM_STA_034_V2-01,SRM_STA_034_V2,AWS Certified Developer - Associate,AWS Certified Developer,Global_Premium,Programming,2022
RW-CERT-SRM_STA_034_V2-02,SRM_STA_034_V2,Certified Ethical Hacker (CEH V12),Issuer,Global_Standard,Cloud,2024
RW-CERT-SRM_STA_034_V2-03,SRM_STA_034_V2,CCNA,Issuer,National,AI,2024
RW-CERT-SRM_STA_034_V2-04,SRM_STA_034_V2,Docker Certified Associate,Issuer,Local,Cloud,2025
RW-CERT-SRM_STA_035-01,SRM_STA_035,MongoDB Associate Developer,Issuer,Global_Standard,Programming,2026
RW-CERT-SRM_STA_035-02,SRM_STA_035,Tableau Certified Data Analyst,Issuer,National,AI,2025
RW-CERT-SRM_STA_035_V2-01,SRM_STA_035_V2,MongoDB Associate Developer,Issuer,National,Programming,2024
RW-CERT-SRM_STA_035_V2-02,SRM_STA_035_V2,Tableau Certified Data Analyst,Issuer,Local,Data,2022
RW-CERT-SRM_STA_036-01,SRM_STA_036,CCNA,Issuer,Global_Standard,AI,2022
RW-CERT-SRM_STA_036-02,SRM_STA_036,Unity Certified Associate,Issuer,National,Web,2025
RW-CERT-SRM_STA_036-03,SRM_STA_036,MongoDB Associate Developer,Issuer,Local,Data,2023
RW-CERT-SRM_STA_036_V2-01,SRM_STA_036_V2,CCNA,Issuer,National,Web,2026
RW-CERT-SRM_STA_036_V2-02,SRM_STA_036_V2,Unity Certified Associate,Issuer,National,Programming,2025
RW-CERT-SRM_STA_036_V2-03,SRM_STA_036_V2,MongoDB Associate Developer,Issuer,Local,Web,2025
RW-CERT-SRM_STA_037-01,SRM_STA_037,Docker Certified Associate,Issuer,Global_Premium,Data,2025
RW-CERT-SRM_STA_037-02,SRM_STA_037,Certified Ethical Hacker (CEH V12),Issuer,Global_Premium,Data,2025
RW-CERT-SRM_STA_037_V2-01,SRM_STA_037_V2,Docker Certified Associate,Issuer,Global_Premium,Cloud,2022
RW-CERT-SRM_STA_037_V2-02,SRM_STA_037_V2,Certified Ethical Hacker (CEH V12),Issuer,Local,Cloud,2025
RW-CERT-SRM_STA_038-01,SRM_STA_038,Unity Certified Associate,Issuer,Local,Cloud,2022
RW-CERT-SRM_STA_038-02,SRM_STA_038,Docker Certified Associate,Issuer,National,Web,2023
RW-CERT-SRM_STA_038-03,SRM_STA_038,Tableau Certified Data Analyst,Issuer,Local,Web,2025
RW-CERT-SRM_STA_038_V2-01,SRM_STA_038_V2,Unity Certified Associate,Issuer,Local,Programming,2023
RW-CERT-SRM_STA_038_V2-02,SRM_STA_038_V2,Docker Certified Associate,Issuer,Local,Cloud,2023
RW-CERT-SRM_STA_038_V2-03,SRM_STA_038_V2,Tableau Certified Data Analyst,Issuer,Global_Standard,Cloud,2023
RW-CERT-SRM_STA_039-01,SRM_STA_039,AWS Certified Developer - Associate,AWS Certified Developer,Local,Web,2025
RW-CERT-SRM_STA_039-02,SRM_STA_039,NPTEL - Programming in Java,NPTEL,Local,Data,2022
RW-CERT-SRM_STA_039-03,SRM_STA_039,MongoDB Associate Developer,Issuer,Global_Standard,Data,2024
RW-CERT-SRM_STA_039-04,SRM_STA_039,Microsoft Certified: Azure Fundamentals,Issuer,National,Cloud,2024
RW-CERT-SRM_STA_039_V2-01,SRM_STA_039_V2,AWS Certified Developer - Associate,AWS Certified Developer,Global_Standard,Programming,2024
RW-CERT-SRM_STA_039_V2-02,SRM_STA_039_V2,NPTEL - Programming in Java,NPTEL,National,Web,2025
RW-CERT-SRM_STA_039_V2-03,SRM_STA_039_V2,MongoDB Associate Developer,Issuer,Global_Premium,Cloud,2025
RW-CERT-SRM_STA_039_V2-04,SRM_STA_039_V2,Microsoft Certified: Azure Fundamentals,Issuer,Global_Standard,AI,2026
RW-CERT-SRM_STA_040-01,SRM_STA_040,Unity Certified Associate,Issuer,Global_Premium,Web,2024
RW-CERT-SRM_STA_040-02,SRM_STA_040,AWS Certified Developer - Associate,AWS Certified Developer,National,Web,2026
RW-CERT-SRM_STA_040-03,SRM_STA_040,NPTEL - Machine Learning,NPTEL,Local,Web,2025
RW-CERT-SRM_STA_040_V2-01,SRM_STA_040_V2,Unity Certified Associate,Issuer,Global_Premium,Programming,2024
RW-CERT-SRM_STA_040_V2-02,SRM_STA_040_V2,AWS Certified Developer - Associate,AWS Certified Developer,Local,Web,2025
RW-CERT-SRM_STA_040_V2-03,SRM_STA_040_V2,NPTEL - Machine Learning,NPTEL,Global_Standard,Data,2024
RW-CERT-SRM_STA_041-01,SRM_STA_041,"{'cert_name': '(cid:127) Atlassian Certified Associate', 'issuing_body': 'Jira Software Essentials — Atlassian', 'tier': 'National', 'year_obtained': 2025}",Issuer,National,Data,2022
RW-CERT-SRM_STA_041-02,SRM_STA_041,"{'cert_name': '(cid:127) Professional Scrum Master (PSM I)', 'issuing_body': 'Scrum.org', 'tier': 'National', 'year_obtained': 2025}",Issuer,National,AI,2025
RW-CERT-SRM_STA_041-03,SRM_STA_041,"{'cert_name': '(cid:127) A4Q Certified Selenium 4 Tester Foundation', 'issuing_body': 'A4Q', 'tier': 'National', 'year_obtained': 2024}",Issuer,Global_Standard,Programming,2023
RW-CERT-SRM_STA_042-01,SRM_STA_042,"{'cert_name': '(cid:127) Oracle Certified Professional: Java SE 11 Developer', 'issuing_body': 'Oracle', 'tier': 'National', 'year_obtained': 2024}",Issuer,National,Data,2022
RW-CERT-SRM_STA_042-02,SRM_STA_042,"{'cert_name': '(cid:127) CompTIA Network+', 'issuing_body': 'CompTIA', 'tier': 'National', 'year_obtained': 2023}",Issuer,National,Programming,2022
RW-CERT-SRM_STA_042-03,SRM_STA_042,"{'cert_name': '(cid:127) Certified Kubernetes Application Developer (CKAD)', 'issuing_body': 'CNCF', 'tier': 'National', 'year_obtained': 2023}",Issuer,Local,Data,2023
RW-CERT-SRM_STA_043-01,SRM_STA_043,"{'cert_name': '(cid:127) Certified Blockchain Expert', 'issuing_body': 'Blockchain Council', 'tier': 'National', 'year_obtained': 2025}",Issuer,National,Web,2022
RW-CERT-SRM_STA_043-02,SRM_STA_043,"{'cert_name': '(cid:127) NPTEL', 'issuing_body': 'Programming in Java — NPTEL', 'tier': 'NPTEL', 'year_obtained': 2024}",Issuer,Global_Premium,Web,2026
RW-CERT-SRM_STA_044-01,SRM_STA_044,"{'cert_name': '(cid:127) Atlassian Certified Associate', 'issuing_body': 'Jira Software Essentials — Atlassian', 'tier': 'National', 'year_obtained': 2024}",Issuer,Local,Data,2023
RW-CERT-SRM_STA_044-02,SRM_STA_044,"{'cert_name': '(cid:127) ServiceNow Certified System Administrator', 'issuing_body': 'ServiceNow', 'tier': 'National', 'year_obtained': 2023}",Issuer,National,AI,2026
RW-CERT-SRM_STA_044-03,SRM_STA_044,"{'cert_name': '(cid:127) Microsoft Certified: Dynamics 365 Fundamentals (CRM)', 'issuing_body': 'Microsoft', 'tier': 'National', 'year_obtained': 2023}",Issuer,National,Programming,2023
RW-CERT-SRM_STA_045-01,SRM_STA_045,"{'cert_name': '(cid:127) Microsoft Certified: Azure Developer Associate', 'issuing_body': 'Microsoft', 'tier': 'National', 'year_obtained': 2025}",Issuer,Global_Premium,Web,2024
RW-CERT-SRM_STA_045-02,SRM_STA_045,"{'cert_name': '(cid:127) Tableau Certified Data Analyst', 'issuing_body': 'Tableau', 'tier': 'National', 'year_obtained': 2024}",Issuer,National,AI,2023
RW-CERT-SRM_STA_045-03,SRM_STA_045,"{'cert_name': '(cid:127) Microsoft Certified: Azure Fundamentals', 'issuing_body': 'Microsoft', 'tier': 'National', 'year_obtained': 2024}",Issuer,Global_Standard,Web,2024
RW-CERT-SRM_STA_045-04,SRM_STA_045,"{'cert_name': '(cid:127) AWS Certified Solutions Architect', 'issuing_body': 'Associate — Amazon', 'tier': 'National', 'year_obtained': 2023}",Issuer,Global_Standard,Programming,2024
