student_id,company_id,group_id,fit_score,relevance_grade,rank_within_group,eligible,hard_pass
S0016,CO001,0,0.0,0,88,0,0
S0018,CO001,0,0.0,0,88,0,0
S0019,CO001,0,0.0,0,88,0,0
S0020,CO001,0,0.0,0,88,0,0
S0021,CO001,0,0.0,0,88,0,0
S0022,CO001,0,0.0,0,88,0,0
S0023,CO001,0,0.0,0,88,0,0
S0024,CO001,0,0.0,0,88,0,0
S0025,CO001,0,0.0,0,88,0,0
S0026,CO001,0,0.0,0,88,0,0
S0027,CO001,0,0.0,0,88,0,0
S0028,CO001,0,0.0,0,88,0,0
S0029,CO001,0,0.0,0,88,0,0
S0032,CO001,0,0.0,0,88,0,0
S0033,CO001,0,0.0,0,88,0,0
S0034,CO001,0,0.0,0,88,0,0
S0035,CO001,0,0.0,0,88,0,0
S0036,CO001,0,0.0,0,88,0,0
S0037,CO001,0,0.0,0,88,0,0
S0038,CO001,0,0.0,0,88,0,0
S0039,CO001,0,0.0,0,88,0,0
S0040,CO001,0,0.0,0,88,0,0
S0041,CO001,0,0.0,0,88,0,0
S0042,CO001,0,0.0,0,88,0,0
S0043,CO001,0,0.0,0,88,0,0
S0044,CO001,0,0.0,0,88,0,0
S0046,CO001,0,0.0,0,88,0,0
S0047,CO001,0,0.0,0,88,0,0
S0048,CO001,0,0.0,0,88,0,0
S0049,CO001,0,0.0,0,88,0,0
S0050,CO001,0,0.0,0,88,0,0
S0051,CO001,0,0.0,0,88,0,0
S0052,CO001,0,0.0,0,88,0,0
S0053,CO001,0,0.0,0,88,0,0
S0054,CO001,0,0.0,0,88,0,0
S0055,CO001,0,0.0,0,88,0,0
S0056,CO001,0,0.0,0,88,0,0
S0057,CO001,0,0.0,0,88,0,0
S0059,CO001,0,0.0,0,88,0,0
S0060,CO001,0,0.0,0,88,0,0
S0061,CO001,0,0.0,0,88,0,0
S0062,CO001,0,0.0,0,88,0,0
S0063,CO001,0,0.0,0,88,0,0
S0064,CO001,0,0.0,0,88,0,0
S0065,CO001,0,0.0,0,88,0,0
S0066,CO001,0,0.0,0,88,0,0
S0067,CO001,0,0.0,0,88,0,0
S0068,CO001,0,0.0,0,88,0,0
S0069,CO001,0,0.0,0,88,0,0
S0070,CO001,0,0.0,0,88,0,0
S0071,CO001,0,0.0,0,88,0,0
S0072,CO001,0,0.0,0,88,0,0
S0073,CO001,0,0.0,0,88,0,0
S0074,CO001,0,0.0,0,88,0,0
S0075,CO001,0,0.0,0,88,0,0
S0076,CO001,0,0.0,0,88,0,0
S0077,CO001,0,0.0,0,88,0,0
S0078,CO001,0,0.0,0,88,0,0
S0079,CO001,0,0.0,0,88,0,0
S0080,CO001,0,0.0,0,88,0,0
S0081,CO001,0,0.0,0,88,0,0
S0082,CO001,0,0.0,0,88,0,0
S0083,CO001,0,0.0,0,88,0,0
S0084,CO001,0,0.0,0,88,0,0
S0085,CO001,0,0.0,0,88,0,0
S0086,CO001,0,0.0,0,88,0,0
S0087,CO001,0,0.0,0,88,0,0
S0088,CO001,0,0.0,0,88,0,0
S0089,CO001,0,0.0,0,88,0,0
S0090,CO001,0,0.0,0,88,0,0
S0091,CO001,0,0.0,0,88,0,0
S0092,CO001,0,0.0,0,88,0,0
S0093,CO001,0,0.0,0,88,0,0
S0095,CO001,0,0.0,0,88,0,0
S0096,CO001,0,0.0,0,88,0,0
S0098,CO001,0,0.0,0,88,0,0
S0099,CO001,0,0.0,0,88,0,0
S0100,CO001,0,0.0,0,88,0,0
S0101,CO001,0,0.0,0,88,0,0
S0102,CO001,0,0.0,0,88,0,0
S0103,CO001,0,0.0,0,88,0,0
S0104,CO001,0,0.0,0,88,0,0
S0105,CO001,0,0.0,0,88,0,0
S0106,CO001,0,0.0,0,88,0,0
S0107,CO001,0,0.0,0,88,0,0
S0109,CO001,0,0.0,0,88,0,0
S0110,CO001,0,0.0,0,88,0,0
S0111,CO001,0,0.0,0,88,0,0
S0112,CO001,0,0.0,0,88,0,0
S0113,CO001,0,0.0,0,88,0,0
S0114,CO001,0,0.0,0,88,0,0
S0115,CO001,0,0.0,0,88,0,0
S0116,CO001,0,0.0,0,88,0,0
S0117,CO001,0,0.0,0,88,0,0
S0118,CO001,0,0.0,0,88,0,0
S0120,CO001,0,0.0,0,88,0,0
S0121,CO001,0,0.0,0,88,0,0
S0122,CO001,0,0.0,0,88,0,0
S0123,CO001,0,0.0,0,88,0,0
S0124,CO001,0,0.0,0,88,0,0
S0125,CO001,0,0.0,0,88,0,0
S0126,CO001,0,0.0,0,88,0,0
S0127,CO001,0,0.0,0,88,0,0
S0128,CO001,0,0.0,0,88,0,0
S0129,CO001,0,0.0,0,88,0,0
S0130,CO001,0,0.0,0,88,0,0
S0131,CO001,0,0.0,0,88,0,0
S0132,CO001,0,0.0,0,88,0,0
S0133,CO001,0,0.0,0,88,0,0
S0134,CO001,0,0.0,0,88,0,0
S0135,CO001,0,0.0,0,88,0,0
S0136,CO001,0,0.0,0,88,0,0
S0137,CO001,0,0.0,0,88,0,0
S0138,CO001,0,0.0,0,88,0,0
S0139,CO001,0,0.0,0,88,0,0
S0140,CO001,0,0.0,0,88,0,0
S0141,CO001,0,0.0,0,88,0,0
S0142,CO001,0,0.0,0,88,0,0
S0143,CO001,0,0.0,0,88,0,0
S0144,CO001,0,0.0,0,88,0,0
S0145,CO001,0,0.0,0,88,0,0
S0148,CO001,0,0.0,0,88,0,0
S0149,CO001,0,0.0,0,88,0,0
S0150,CO001,0,0.0,0,88,0,0
S0152,CO001,0,0.0,0,88,0,0
S0153,CO001,0,0.0,0,88,0,0
S0154,CO001,0,0.0,0,88,0,0
S0155,CO001,0,0.0,0,88,0,0
S0156,CO001,0,0.0,0,88,0,0
S0157,CO001,0,0.0,0,88,0,0
S0158,CO001,0,0.0,0,88,0,0
S0159,CO001,0,0.0,0,88,0,0
S0160,CO001,0,0.0,0,88,0,0
S0161,CO001,0,0.0,0,88,0,0
S0162,CO001,0,0.0,0,88,0,0
S0163,CO001,0,0.0,0,88,0,0
S0165,CO001,0,0.0,0,88,0,0
S0166,CO001,0,0.0,0,88,0,0
S0167,CO001,0,0.0,0,88,0,0
S0168,CO001,0,0.0,0,88,0,0
S0169,CO001,0,0.0,0,88,0,0
S0170,CO001,0,0.0,0,88,0,0
S0172,CO001,0,0.0,0,88,0,0
S0173,CO001,0,0.0,0,88,0,0
S0174,CO001,0,0.0,0,88,0,0
S0175,CO001,0,0.0,0,88,0,0
S0176,CO001,0,0.0,0,88,0,0
S0177,CO001,0,0.0,0,88,0,0
S0178,CO001,0,0.0,0,88,0,0
S0180,CO001,0,0.0,0,88,0,0
S0182,CO001,0,0.0,0,88,0,0
S0183,CO001,0,0.0,0,88,0,0
S0184,CO001,0,0.0,0,88,0,0
S0186,CO001,0,0.0,0,88,0,0
S0187,CO001,0,0.0,0,88,0,0
S0188,CO001,0,0.0,0,88,0,0
S0189,CO001,0,0.0,0,88,0,0
S0190,CO001,0,0.0,0,88,0,0
S0193,CO001,0,0.0,0,88,0,0
S0196,CO001,0,0.0,0,88,0,0
S0197,CO001,0,0.0,0,88,0,0
S0198,CO001,0,0.0,0,88,0,0
S0199,CO001,0,0.0,0,88,0,0
S0201,CO001,0,0.0,0,88,0,0
S0204,CO001,0,0.0,0,88,0,0
S0205,CO001,0,0.0,0,88,0,0
S0207,CO001,0,0.0,0,88,0,0
S0208,CO001,0,0.0,0,88,0,0
S0209,CO001,0,0.0,0,88,0,0
S0210,CO001,0,0.0,0,88,0,0
S0211,CO001,0,0.0,0,88,0,0
S0212,CO001,0,0.0,0,88,0,0
S0213,CO001,0,0.0,0,88,0,0
S0214,CO001,0,0.0,0,88,0,0
S0215,CO001,0,0.0,0,88,0,0
S0216,CO001,0,0.0,0,88,0,0
S0217,CO001,0,0.0,0,88,0,0
S0218,CO001,0,0.0,0,88,0,0
S0219,CO001,0,0.0,0,88,0,0
S0220,CO001,0,0.0,0,88,0,0
S0221,CO001,0,0.0,0,88,0,0
S0222,CO001,0,0.0,0,88,0,0
S0223,CO001,0,0.0,0,88,0,0
S0224,CO001,0,0.0,0,88,0,0
S0225,CO001,0,0.0,0,88,0,0
S0226,CO001,0,0.0,0,88,0,0
S0228,CO001,0,0.0,0,88,0,0
S0230,CO001,0,0.0,0,88,0,0
S0231,CO001,0,0.0,0,88,0,0
S0233,CO001,0,0.0,0,88,0,0
S0234,CO001,0,0.0,0,88,0,0
S0235,CO001,0,0.0,0,88,0,0
S0236,CO001,0,0.0,0,88,0,0
S0237,CO001,0,0.0,0,88,0,0
S0238,CO001,0,0.0,0,88,0,0
S0240,CO001,0,0.0,0,88,0,0
S0241,CO001,0,0.0,0,88,0,0
S0242,CO001,0,0.0,0,88,0,0
S0243,CO001,0,0.0,0,88,0,0
S0244,CO001,0,0.0,0,88,0,0
S0245,CO001,0,0.0,0,88,0,0
S0246,CO001,0,0.0,0,88,0,0
S0247,CO001,0,0.0,0,88,0,0
S0248,CO001,0,0.0,0,88,0,0
S0249,CO001,0,0.0,0,88,0,0
S0252,CO001,0,0.0,0,88,0,0
S0253,CO001,0,0.0,0,88,0,0
S0254,CO001,0,0.0,0,88,0,0
S0255,CO001,0,0.0,0,88,0,0
S0256,CO001,0,0.0,0,88,0,0
S0257,CO001,0,0.0,0,88,0,0
S0258,CO001,0,0.0,0,88,0,0
S0259,CO001,0,0.0,0,88,0,0
S0260,CO001,0,0.0,0,88,0,0
S0261,CO001,0,0.0,0,88,0,0
S0262,CO001,0,0.0,0,88,0,0
S0263,CO001,0,0.0,0,88,0,0
S0264,CO001,0,0.0,0,88,0,0
S0265,CO001,0,0.0,0,88,0,0
S0266,CO001,0,0.0,0,88,0,0
S0267,CO001,0,0.0,0,88,0,0
S0268,CO001,0,0.0,0,88,0,0
S0269,CO001,0,0.0,0,88,0,0
S0270,CO001,0,0.0,0,88,0,0
S0271,CO001,0,0.0,0,88,0,0
S0272,CO001,0,0.0,0,88,0,0
S0273,CO001,0,0.0,0,88,0,0
S0274,CO001,0,0.0,0,88,0,0
S0276,CO001,0,0.0,0,88,0,0
S0277,CO001,0,0.0,0,88,0,0
S0278,CO001,0,0.0,0,88,0,0
S0279,CO001,0,0.0,0,88,0,0
S0280,CO001,0,0.0,0,88,0,0
S0281,CO001,0,0.0,0,88,0,0
S0283,CO001,0,0.0,0,88,0,0
S0284,CO001,0,0.0,0,88,0,0
S0285,CO001,0,0.0,0,88,0,0
S0287,CO001,0,0.0,0,88,0,0
S0288,CO001,0,0.0,0,88,0,0
S0289,CO001,0,0.0,0,88,0,0
S0290,CO001,0,0.0,0,88,0,0
S0291,CO001,0,0.0,0,88,0,0
S0293,CO001,0,0.0,0,88,0,0
S0294,CO001,0,0.0,0,88,0,0
S0296,CO001,0,0.0,0,88,0,0
S0298,CO001,0,0.0,0,88,0,0
S0299,CO001,0,0.0,0,88,0,0
S0300,CO001,0,0.0,0,88,0,0
S0301,CO001,0,0.0,0,88,0,0
S0302,CO001,0,0.0,0,88,0,0
S0303,CO001,0,0.0,0,88,0,0
S0304,CO001,0,0.0,0,88,0,0
S0305,CO001,0,0.0,0,88,0,0
S0306,CO001,0,0.0,0,88,0,0
S0307,CO001,0,0.0,0,88,0,0
S0308,CO001,0,0.0,0,88,0,0
S0311,CO001,0,0.0,0,88,0,0
S0312,CO001,0,0.0,0,88,0,0
S0313,CO001,0,0.0,0,88,0,0
S0314,CO001,0,0.0,0,88,0,0
S0315,CO001,0,0.0,0,88,0,0
S0316,CO001,0,0.0,0,88,0,0
S0318,CO001,0,0.0,0,88,0,0
S0319,CO001,0,0.0,0,88,0,0
S0320,CO001,0,0.0,0,88,0,0
S0321,CO001,0,0.0,0,88,0,0
S0322,CO001,0,0.0,0,88,0,0
S0323,CO001,0,0.0,0,88,0,0
S0324,CO001,0,0.0,0,88,0,0
S0325,CO001,0,0.0,0,88,0,0
S0326,CO001,0,0.0,0,88,0,0
S0327,CO001,0,0.0,0,88,0,0
S0328,CO001,0,0.0,0,88,0,0
S0329,CO001,0,0.0,0,88,0,0
S0330,CO001,0,0.0,0,88,0,0
S0331,CO001,0,0.0,0,88,0,0
S0332,CO001,0,0.0,0,88,0,0
S0333,CO001,0,0.0,0,88,0,0
S0334,CO001,0,0.0,0,88,0,0
S0335,CO001,0,0.0,0,88,0,0
S0336,CO001,0,0.0,0,88,0,0
S0337,CO001,0,0.0,0,88,0,0
S0338,CO001,0,0.0,0,88,0,0
S0339,CO001,0,0.0,0,88,0,0
S0341,CO001,0,0.0,0,88,0,0
S0342,CO001,0,0.0,0,88,0,0
S0343,CO001,0,0.0,0,88,0,0
S0344,CO001,0,0.0,0,88,0,0
S0345,CO001,0,0.0,0,88,0,0
S0346,CO001,0,0.0,0,88,0,0
S0347,CO001,0,0.0,0,88,0,0
S0348,CO001,0,0.0,0,88,0,0
S0349,CO001,0,0.0,0,88,0,0
S0350,CO001,0,0.0,0,88,0,0
S0351,CO001,0,0.0,0,88,0,0
S0352,CO001,0,0.0,0,88,0,0
S0353,CO001,0,0.0,0,88,0,0
S0354,CO001,0,0.0,0,88,0,0
S0355,CO001,0,0.0,0,88,0,0
S0356,CO001,0,0.0,0,88,0,0
S0357,CO001,0,0.0,0,88,0,0
S0358,CO001,0,0.0,0,88,0,0
S0359,CO001,0,0.0,0,88,0,0
S0360,CO001,0,0.0,0,88,0,0
S0361,CO001,0,0.0,0,88,0,0
S0363,CO001,0,0.0,0,88,0,0
S0364,CO001,0,0.0,0,88,0,0
S0365,CO001,0,0.0,0,88,0,0
S0366,CO001,0,0.0,0,88,0,0
S0367,CO001,0,0.0,0,88,0,0
S0369,CO001,0,0.0,0,88,0,0
S0370,CO001,0,0.0,0,88,0,0
S0371,CO001,0,0.0,0,88,0,0
S0372,CO001,0,0.0,0,88,0,0
S0373,CO001,0,0.0,0,88,0,0
S0374,CO001,0,0.0,0,88,0,0
S0375,CO001,0,0.0,0,88,0,0
S0376,CO001,0,0.0,0,88,0,0
S0377,CO001,0,0.0,0,88,0,0
S0378,CO001,0,0.0,0,88,0,0
S0379,CO001,0,0.0,0,88,0,0
S0380,CO001,0,0.0,0,88,0,0
S0381,CO001,0,0.0,0,88,0,0
S0382,CO001,0,0.0,0,88,0,0
S0383,CO001,0,0.0,0,88,0,0
S0384,CO001,0,0.0,0,88,0,0
S0385,CO001,0,0.0,0,88,0,0
S0386,CO001,0,0.0,0,88,0,0
S0387,CO001,0,0.0,0,88,0,0
S0388,CO001,0,0.0,0,88,0,0
S0389,CO001,0,0.0,0,88,0,0
S0390,CO001,0,0.0,0,88,0,0
S0391,CO001,0,0.0,0,88,0,0
S0392,CO001,0,0.0,0,88,0,0
S0393,CO001,0,0.0,0,88,0,0
S0395,CO001,0,0.0,0,88,0,0
S0396,CO001,0,0.0,0,88,0,0
S0397,CO001,0,0.0,0,88,0,0
S0398,CO001,0,0.0,0,88,0,0
S0399,CO001,0,0.0,0,88,0,0
S0400,CO001,0,0.0,0,88,0,0
S0401,CO001,0,0.0,0,88,0,0
S0402,CO001,0,0.0,0,88,0,0
S0404,CO001,0,0.0,0,88,0,0
S0405,CO001,0,0.0,0,88,0,0
S0406,CO001,0,0.0,0,88,0,0
S0407,CO001,0,0.0,0,88,0,0
S0409,CO001,0,0.0,0,88,0,0
S0410,CO001,0,0.0,0,88,0,0
S0411,CO001,0,0.0,0,88,0,0
S0412,CO001,0,0.0,0,88,0,0
S0413,CO001,0,0.0,0,88,0,0
S0414,CO001,0,0.0,0,88,0,0
S0415,CO001,0,0.0,0,88,0,0
S0416,CO001,0,0.0,0,88,0,0
S0417,CO001,0,0.0,0,88,0,0
S0418,CO001,0,0.0,0,88,0,0
S0419,CO001,0,0.0,0,88,0,0
S0420,CO001,0,0.0,0,88,0,0
S0421,CO001,0,0.0,0,88,0,0
S0422,CO001,0,0.0,0,88,0,0
S0424,CO001,0,0.0,0,88,0,0
S0427,CO001,0,0.0,0,88,0,0
S0428,CO001,0,0.0,0,88,0,0
S0429,CO001,0,0.0,0,88,0,0
S0430,CO001,0,0.0,0,88,0,0
S0431,CO001,0,0.0,0,88,0,0
S0432,CO001,0,0.0,0,88,0,0
S0433,CO001,0,0.0,0,88,0,0
S0434,CO001,0,0.0,0,88,0,0
S0435,CO001,0,0.0,0,88,0,0
S0436,CO001,0,0.0,0,88,0,0
S0438,CO001,0,0.0,0,88,0,0
S0439,CO001,0,0.0,0,88,0,0
S0440,CO001,0,0.0,0,88,0,0
S0441,CO001,0,0.0,0,88,0,0
S0442,CO001,0,0.0,0,88,0,0
S0443,CO001,0,0.0,0,88,0,0
S0444,CO001,0,0.0,0,88,0,0
S0445,CO001,0,0.0,0,88,0,0
S0446,CO001,0,0.0,0,88,0,0
S0447,CO001,0,0.0,0,88,0,0
S0448,CO001,0,0.0,0,88,0,0
S0449,CO001,0,0.0,0,88,0,0
S0450,CO001,0,0.0,0,88,0,0
S0451,CO001,0,0.0,0,88,0,0
S0452,CO001,0,0.0,0,88,0,0
S0453,CO001,0,0.0,0,88,0,0
S0454,CO001,0,0.0,0,88,0,0
S0455,CO001,0,0.0,0,88,0,0
S0456,CO001,0,0.0,0,88,0,0
S0457,CO001,0,0.0,0,88,0,0
S0458,CO001,0,0.0,0,88,0,0
S0459,CO001,0,0.0,0,88,0,0
S0461,CO001,0,0.0,0,88,0,0
S0462,CO001,0,0.0,0,88,0,0
S0463,CO001,0,0.0,0,88,0,0
S0464,CO001,0,0.0,0,88,0,0
S0465,CO001,0,0.0,0,88,0,0
S0466,CO001,0,0.0,0,88,0,0
S0467,CO001,0,0.0,0,88,0,0
S0470,CO001,0,0.0,0,88,0,0
S0472,CO001,0,0.0,0,88,0,0
S0474,CO001,0,0.0,0,88,0,0
S0475,CO001,0,0.0,0,88,0,0
S0476,CO001,0,0.0,0,88,0,0
S0477,CO001,0,0.0,0,88,0,0
S0478,CO001,0,0.0,0,88,0,0
S0480,CO001,0,0.0,0,88,0,0
S0482,CO001,0,0.0,0,88,0,0
S0483,CO001,0,0.0,0,88,0,0
S0484,CO001,0,0.0,0,88,0,0
S0486,CO001,0,0.0,0,88,0,0
S0487,CO001,0,0.0,0,88,0,0
S0488,CO001,0,0.0,0,88,0,0
S0489,CO001,0,0.0,0,88,0,0
S0490,CO001,0,0.0,0,88,0,0
S0491,CO001,0,0.0,0,88,0,0
S0492,CO001,0,0.0,0,88,0,0
S0493,CO001,0,0.0,0,88,0,0
S0494,CO001,0,0.0,0,88,0,0
S0495,CO001,0,0.0,0,88,0,0
S0496,CO001,0,0.0,0,88,0,0
S0497,CO001,0,0.0,0,88,0,0
S0498,CO001,0,0.0,0,88,0,0
S0499,CO001,0,0.0,0,88,0,0
S0500,CO001,0,0.0,0,88,0,0
S0501,CO001,0,0.0,0,88,0,0
S0502,CO001,0,0.0,0,88,0,0
S0503,CO001,0,0.0,0,88,0,0
S0504,CO001,0,0.0,0,88,0,0
S0505,CO001,0,0.0,0,88,0,0
S0506,CO001,0,0.0,0,88,0,0
S0507,CO001,0,0.0,0,88,0,0
S0508,CO001,0,0.0,0,88,0,0
S0509,CO001,0,0.0,0,88,0,0
S0510,CO001,0,0.0,0,88,0,0
S0511,CO001,0,0.0,0,88,0,0
S0512,CO001,0,0.0,0,88,0,0
S0513,CO001,0,0.0,0,88,0,0
S0514,CO001,0,0.0,0,88,0,0
S0515,CO001,0,0.0,0,88,0,0
S0516,CO001,0,0.0,0,88,0,0
S0517,CO001,0,0.0,0,88,0,0
S0518,CO001,0,0.0,0,88,0,0
S0519,CO001,0,0.0,0,88,0,0
S0520,CO001,0,0.0,0,88,0,0
S0521,CO001,0,0.0,0,88,0,0
S0522,CO001,0,0.0,0,88,0,0
S0523,CO001,0,0.0,0,88,0,0
S0524,CO001,0,0.0,0,88,0,0
S0525,CO001,0,0.0,0,88,0,0
S0526,CO001,0,0.0,0,88,0,0
S0527,CO001,0,0.0,0,88,0,0
S0528,CO001,0,0.0,0,88,0,0
S0529,CO001,0,0.0,0,88,0,0
S0531,CO001,0,0.0,0,88,0,0
S0532,CO001,0,0.0,0,88,0,0
S0533,CO001,0,0.0,0,88,0,0
S0534,CO001,0,0.0,0,88,0,0
S0536,CO001,0,0.0,0,88,0,0
S0537,CO001,0,0.0,0,88,0,0
S0538,CO001,0,0.0,0,88,0,0
S0539,CO001,0,0.0,0,88,0,0
S0540,CO001,0,0.0,0,88,0,0
S0541,CO001,0,0.0,0,88,0,0
S0542,CO001,0,0.0,0,88,0,0
S0544,CO001,0,0.0,0,88,0,0
S0545,CO001,0,0.0,0,88,0,0
S0546,CO001,0,0.0,0,88,0,0
S0547,CO001,0,0.0,0,88,0,0
S0548,CO001,0,0.0,0,88,0,0
S0549,CO001,0,0.0,0,88,0,0
S0551,CO001,0,0.0,0,88,0,0
S0552,CO001,0,0.0,0,88,0,0
S0553,CO001,0,0.0,0,88,0,0
S0554,CO001,0,0.0,0,88,0,0
S0555,CO001,0,0.0,0,88,0,0
S0556,CO001,0,0.0,0,88,0,0
S0557,CO001,0,0.0,0,88,0,0
S0558,CO001,0,0.0,0,88,0,0
S0559,CO001,0,0.0,0,88,0,0
S0560,CO001,0,0.0,0,88,0,0
S0561,CO001,0,0.0,0,88,0,0
S0562,CO001,0,0.0,0,88,0,0
S0563,CO001,0,0.0,0,88,0,0
S0564,CO001,0,0.0,0,88,0,0
S0565,CO001,0,0.0,0,88,0,0
S0566,CO001,0,0.0,0,88,0,0
S0567,CO001,0,0.0,0,88,0,0
S0568,CO001,0,0.0,0,88,0,0
S0569,CO001,0,0.0,0,88,0,0
S0571,CO001,0,0.0,0,88,0,0
S0572,CO001,0,0.0,0,88,0,0
S0573,CO001,0,0.0,0,88,0,0
S0574,CO001,0,0.0,0,88,0,0
S0575,CO001,0,0.0,0,88,0,0
S0576,CO001,0,0.0,0,88,0,0
S0577,CO001,0,0.0,0,88,0,0
S0579,CO001,0,0.0,0,88,0,0
S0580,CO001,0,0.0,0,88,0,0
S0581,CO001,0,0.0,0,88,0,0
S0582,CO001,0,0.0,0,88,0,0
S0583,CO001,0,0.0,0,88,0,0
S0584,CO001,0,0.0,0,88,0,0
S0585,CO001,0,0.0,0,88,0,0
S0586,CO001,0,0.0,0,88,0,0
S0587,CO001,0,0.0,0,88,0,0
S0588,CO001,0,0.0,0,88,0,0
S0589,CO001,0,0.0,0,88,0,0
S0590,CO001,0,0.0,0,88,0,0
S0591,CO001,0,0.0,0,88,0,0
S0592,CO001,0,0.0,0,88,0,0
S0593,CO001,0,0.0,0,88,0,0
S0594,CO001,0,0.0,0,88,0,0
S0595,CO001,0,0.0,0,88,0,0
S0597,CO001,0,0.0,0,88,0,0
S0598,CO001,0,0.0,0,88,0,0
S0599,CO001,0,0.0,0,88,0,0
S0602,CO001,0,0.0,0,88,0,0
S0603,CO001,0,0.0,0,88,0,0
S0604,CO001,0,0.0,0,88,0,0
S0605,CO001,0,0.0,0,88,0,0
S0606,CO001,0,0.0,0,88,0,0
S0607,CO001,0,0.0,0,88,0,0
S0608,CO001,0,0.0,0,88,0,0
S0609,CO001,0,0.0,0,88,0,0
S0610,CO001,0,0.0,0,88,0,0
S0611,CO001,0,0.0,0,88,0,0
